"filename", "language", "TypeScript", "TypeScript React", "SCSS", "JSON with Comments", "JSON", "Markdown", "HTML", "XML", "comment", "blank", "total"
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/components/DAO/UnlockModal/UnlockModal.module.scss", "SCSS", 0, 0, 103, 0, 0, 0, 0, 0, 0, 21, 124
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/components/DAO/UnlockModal/UnlockModal.tsx", "TypeScript React", 0, 57, 0, 0, 0, 0, 0, 0, 0, 4, 61
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/components/DAO/UpperPage/UpperPage.module.scss", "SCSS", 0, 0, 317, 0, 0, 0, 0, 0, 0, 68, 385
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/components/DAO/UpperPage/UpperPage.tsx", "TypeScript React", 0, 118, 0, 0, 0, 0, 0, 0, 0, 3, 121
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/components/DepositDashboard/DepositDashboard.module.scss", "SCSS", 0, 0, 29, 0, 0, 0, 0, 0, 0, 5, 34
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/components/DepositDashboard/DepositDashboard.tsx", "TypeScript React", 0, 33, 0, 0, 0, 0, 0, 0, 0, 3, 36
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/components/Footer/Footer.module.scss", "SCSS", 0, 0, 48, 0, 0, 0, 0, 0, 0, 12, 60
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/components/Footer/Footer.tsx", "TypeScript React", 0, 90, 0, 0, 0, 0, 0, 0, 0, 5, 95
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/components/Logo/Logo.module.scss", "SCSS", 0, 0, 25, 0, 0, 0, 0, 0, 0, 5, 30
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/components/Logo/Logo.tsx", "TypeScript React", 0, 17, 0, 0, 0, 0, 0, 0, 0, 5, 22
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/components/Modals/Done/Done.module.scss", "SCSS", 0, 0, 97, 0, 0, 0, 0, 0, 0, 16, 113
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/components/Modals/Done/Done.tsx", "TypeScript React", 0, 67, 0, 0, 0, 0, 0, 0, 0, 6, 73
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/components/Modals/LiquidityStakeReward/Liquidity.module.scss", "SCSS", 0, 0, 233, 0, 0, 0, 0, 0, 0, 44, 277
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/components/Modals/LiquidityStakeReward/Liquidity.tsx", "TypeScript React", 0, 144, 0, 0, 0, 0, 0, 0, 1, 6, 151
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/components/Modals/LiquidityStakeReward/LiquidityStakeReward.module.scss", "SCSS", 0, 0, 62, 0, 0, 0, 0, 0, 0, 7, 69
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/components/Modals/LiquidityStakeReward/LiquidityStakeReward.tsx", "TypeScript React", 0, 46, 0, 0, 0, 0, 0, 0, 0, 3, 49
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/components/Modals/LiquidityStakeReward/Reward.module.scss", "SCSS", 0, 0, 203, 0, 0, 0, 0, 0, 0, 38, 241
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/components/Modals/LiquidityStakeReward/Reward.tsx", "TypeScript React", 0, 34, 0, 0, 0, 0, 0, 0, 0, 5, 39
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/components/Modals/LiquidityStakeReward/Stake.module.scss", "SCSS", 0, 0, 203, 0, 0, 0, 0, 0, 0, 40, 243
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/components/Modals/LiquidityStakeReward/Stake.tsx", "TypeScript React", 0, 119, 0, 0, 0, 0, 0, 0, 1, 6, 126
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/components/Modals/Waiting/Waiting.module.scss", "SCSS", 0, 0, 130, 0, 0, 0, 0, 0, 0, 19, 149
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/components/Modals/Waiting/Waiting.tsx", "TypeScript React", 0, 38, 0, 0, 0, 0, 0, 0, 0, 6, 44
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/components/Modals/Warning/Warning.module.scss", "SCSS", 0, 0, 57, 0, 0, 0, 0, 0, 0, 8, 65
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/components/Modals/Warning/Warning.tsx", "TypeScript React", 0, 32, 0, 0, 0, 0, 0, 0, 0, 4, 36
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/components/Navbar/Navbar.module.scss", "SCSS", 0, 0, 272, 0, 0, 0, 0, 0, 0, 33, 305
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/components/Navbar/Navbar.tsx", "TypeScript React", 0, 240, 0, 0, 0, 0, 0, 0, 0, 11, 251
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/components/Pool/ChoosePool/ChoosePool.module.scss", "SCSS", 0, 0, 85, 0, 0, 0, 0, 0, 0, 26, 111
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/components/Pool/ChoosePool/ChoosePool.tsx", "TypeScript React", 0, 63, 0, 0, 0, 0, 0, 0, 0, 3, 66
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/components/Pool/DepositDashboard/DepositDashboard.module.scss", "SCSS", 0, 0, 71, 0, 0, 0, 0, 0, 0, 12, 83
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/components/Pool/DepositDashboard/DepositDashboard.tsx", "TypeScript React", 0, 34, 0, 0, 0, 0, 0, 0, 0, 3, 37
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/components/Pool/DesktopTable/DesktopTable.module.scss", "SCSS", 0, 0, 79, 0, 0, 0, 0, 0, 0, 18, 97
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/components/Pool/DesktopTable/DesktopTable.tsx", "TypeScript React", 0, 97, 0, 0, 0, 0, 0, 0, 0, 6, 103
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/components/Pool/PhoneTable/PhoneTable.module.scss", "SCSS", 0, 0, 142, 0, 0, 0, 0, 0, 0, 32, 174
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/components/Pool/PhoneTable/PhoneTable.tsx", "TypeScript React", 0, 286, 0, 0, 0, 0, 0, 0, 0, 9, 295
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/components/Pool/Pools/Pools.module.scss", "SCSS", 0, 0, 351, 0, 0, 0, 0, 0, 0, 79, 430
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/components/Pool/Pools/Pools.tsx", "TypeScript React", 0, 68, 0, 0, 0, 0, 0, 0, 0, 4, 72
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/components/Pool/datas.ts", "TypeScript", 397, 0, 0, 0, 0, 0, 0, 0, 0, 3, 400
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/components/Pools/Pools.module.scss", "SCSS", 0, 0, 36, 0, 0, 0, 0, 0, 0, 8, 44
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/components/Pools/Pools.tsx", "TypeScript React", 0, 46, 0, 0, 0, 0, 0, 0, 0, 5, 51
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/components/Row/Row.module.scss", "SCSS", 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/components/Row/Row.tsx", "TypeScript React", 0, 41, 0, 0, 0, 0, 0, 0, 0, 4, 45
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/components/SwapBox/SwapBox.module.scss", "SCSS", 0, 0, 46, 0, 0, 0, 0, 0, 0, 5, 51
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/components/SwapBox/SwapBox.tsx", "TypeScript React", 0, 287, 0, 0, 0, 0, 0, 0, 22, 16, 325
